Area_Name,Year,Group_Name,Sub_Group_Name,Cases_Property_Recovered,Cases_Property_Stolen,Value_of_Property_Recovered,Value_of_Property_Stolen,id
Bihar,2005,Robbery - Property,2. Robbery,439,2374,17663039,65234508,5
Chandigarh,2005,Robbery - Property,2. Robbery,10,12,1039650,1085150,6
Chhattisgarh,2005,Robbery - Property,2. Robbery,217,401,3840349,10051593,7
Dadra & Nagar Haveli,2005,Robbery - Property,2. Robbery,2,2,75000,75000,8
Daman & Diu,2005,Robbery - Property,2. Robbery,0,0,0,0,9
Delhi,2005,Robbery - Property,2. Robbery,450,510,6965983,41203747,10
Goa,2005,Robbery - Property,2. Robbery,12,25,1248880,3378441,11
Gujarat,2005,Robbery - Property,2. Robbery,523,935,23294791,60100567,12
Haryana,2005,Robbery - Property,2. Robbery,280,374,41194198,60538254,13
Himachal Pradesh,2005,Robbery - Property,2. Robbery,10,22,605113,1581207,14
Jammu & Kashmir,2005,Robbery - Property,2. Robbery,46,116,2173713,7010730,15
Jharkhand,2005,Robbery - Property,2. Robbery,163,698,4926094,21285370,16
Karnataka,2005,Robbery - Property,2. Robbery,671,1202,19082002,42655860,17
Kerala,2005,Robbery - Property,2. Robbery,233,544,6015450,25519168,18
Lakshadweep,2005,Robbery - Property,2. Robbery,0,0,0,0,19
Madhya Pradesh,2005,Robbery - Property,2. Robbery,909,1557,35834684,68609510,20
Maharashtra,2005,Robbery - Property,2. Robbery,1331,2362,44310345,130676723,21
Manipur,2005,Robbery - Property,2. Robbery,0,8,0,522270,22
Meghalaya,2005,Robbery - Property,2. Robbery,15,83,381120,1578747,23
Mizoram,2005,Robbery - Property,2. Robbery,1,6,300,16600,24
Nagaland,2005,Robbery - Property,2. Robbery,20,80,96175,1042890,25
Odisha,2005,Robbery - Property,2. Robbery,583,998,7942225,22663185,26
Puducherry,2005,Robbery - Property,2. Robbery,2,5,20740,798440,27
Punjab,2005,Robbery - Property,2. Robbery,71,85,15258540,27689697,28
Rajasthan,2005,Robbery - Property,2. Robbery,349,548,32373616,46054818,29
Sikkim,2005,Robbery - Property,2. Robbery,0,4,0,235000,30
Tamil Nadu,2005,Robbery - Property,2. Robbery,361,437,15226396,23283451,31
Tripura,2005,Robbery - Property,2. Robbery,10,61,297270,1036433,32
Uttar Pradesh,2005,Robbery - Property,2. Robbery,854,1621,64892746,147111016,33
Uttarakhand,2005,Robbery - Property,2. Robbery,59,138,4577845,8365375,34
West Bengal,2005,Robbery - Property,2. Robbery,154,426,4441585,13592390,35
Andaman & Nicobar Islands,2006,Robbery - Property,2. Robbery,5,5,22000,22040,1
Andhra Pradesh,2006,Robbery - Property,2. Robbery,339,669,18259006,42224671,2
Arunachal Pradesh,2006,Robbery - Property,2. Robbery,37,74,1093299,2528410,3
Assam,2006,Robbery - Property,2. Robbery,110,544,4390325,11828104,4
Bihar,2006,Robbery - Property,2. Robbery,382,2169,14838928,50321173,5
Chandigarh,2006,Robbery - Property,2. Robbery,31,34,320550,526600,6
Chhattisgarh,2006,Robbery - Property,2. Robbery,268,439,9272542,23284457,7
Dadra & Nagar Haveli,2006,Robbery - Property,2. Robbery,3,5,9600,103400,8
Daman & Diu,2006,Robbery - Property,2. Robbery,0,1,0,592680,9
Delhi,2006,Robbery - Property,2. Robbery,480,541,13040415,54404619,10
Goa,2006,Robbery - Property,2. Robbery,7,16,76650,3449800,11
Gujarat,2006,Robbery - Property,2. Robbery,516,932,22271713,45487893,12
Haryana,2006,Robbery - Property,2. Robbery,309,408,45978237,63152965,13
Himachal Pradesh,2006,Robbery - Property,2. Robbery,21,29,2513990,3503690,14
Jammu & Kashmir,2006,Robbery - Property,2. Robbery,32,112,2245019,4269164,15
Jharkhand,2006,Robbery - Property,2. Robbery,133,772,4065780,24756183,16
Karnataka,2006,Robbery - Property,2. Robbery,712,1349,24572555,61989790,17
Kerala,2006,Robbery - Property,2. Robbery,244,605,5442681,19206824,18
Lakshadweep,2006,Robbery - Property,2. Robbery,0,0,0,0,19
Madhya Pradesh,2006,Robbery - Property,2. Robbery,1063,1770,31142976,78103291,20
Maharashtra,2006,Robbery - Property,2. Robbery,1498,2540,50673143,155404631,21
Manipur,2006,Robbery - Property,2. Robbery,0,8,0,68000,22
Meghalaya,2006,Robbery - Property,2. Robbery,13,65,846845,1703447,23
Mizoram,2006,Robbery - Property,2. Robbery,5,10,32563,162397,24
Nagaland,2006,Robbery - Property,2. Robbery,21,82,570200,53227971,25
Odisha,2006,Robbery - Property,2. Robbery,661,1184,17714523,47359024,26
Puducherry,2006,Robbery - Property,2. Robbery,1,3,10000,110000,27
Punjab,2006,Robbery - Property,2. Robbery,105,142,12998828,21920047,28
Rajasthan,2006,Robbery - Property,2. Robbery,392,581,48425753,57790782,29
Sikkim,2006,Robbery - Property,2. Robbery,2,9,47000,151600,30
Tamil Nadu,2006,Robbery - Property,2. Robbery,360,450,16812034,22634231,31
Tripura,2006,Robbery - Property,2. Robbery,21,71,283620,1423080,32
Uttar Pradesh,2006,Robbery - Property,2. Robbery,851,1565,78744260,147203219,33
Uttarakhand,2006,Robbery - Property,2. Robbery,49,113,1663815,6014979,34
West Bengal,2006,Robbery - Property,2. Robbery,158,426,7073804,28000059,35
Andaman & Nicobar Islands,2007,Robbery - Property,2. Robbery,6,9,164690,239690,1
Andhra Pradesh,2007,Robbery - Property,2. Robbery,332,604,21691492,42748748,2
Arunachal Pradesh,2007,Robbery - Property,2. Robbery,38,75,1969700,3324408,3
Assam,2007,Robbery - Property,2. Robbery,120,496,3187208,14447990,4
Bihar,2007,Robbery - Property,2. Robbery,333,1787,15551687,68305746,5
Chandigarh,2007,Robbery - Property,2. Robbery,31,37,652410,1616410,6
Chhattisgarh,2007,Robbery - Property,2. Robbery,263,427,8314313,18400122,7
Dadra & Nagar Haveli,2007,Robbery - Property,2. Robbery,3,3,30000,30000,8
Daman & Diu,2007,Robbery - Property,2. Robbery,0,2,0,3000,9
Delhi,2007,Robbery - Property,2. Robbery,478,557,9950516,48600840,10
Goa,2007,Robbery - Property,2. Robbery,13,22,5148378,6447620,11
Gujarat,2007,Robbery - Property,2. Robbery,540,1057,22082579,54092964,12
Haryana,2007,Robbery - Property,2. Robbery,359,502,58084857,86991285,13
Himachal Pradesh,2007,Robbery - Property,2. Robbery,9,23,1694900,4318120,14
Jammu & Kashmir,2007,Robbery - Property,2. Robbery,35,107,3923180,7023680,15
Jharkhand,2007,Robbery - Property,2. Robbery,136,771,7553353,37472789,16
Karnataka,2007,Robbery - Property,2. Robbery,845,1307,25775141,66346393,17
Kerala,2007,Robbery - Property,2. Robbery,345,726,7091344,28914973,18
Lakshadweep,2007,Robbery - Property,2. Robbery,0,0,0,0,19
Madhya Pradesh,2007,Robbery - Property,2. Robbery,1126,1975,51082895,89208369,20
Maharashtra,2007,Robbery - Property,2. Robbery,1616,2732,53930063,167474105,21
Manipur,2007,Robbery - Property,2. Robbery,0,11,0,1392300,22
Meghalaya,2007,Robbery - Property,2. Robbery,10,56,700100,1402381,23
Mizoram,2007,Robbery - Property,2. Robbery,3,4,39300,44350,24
Nagaland,2007,Robbery - Property,2. Robbery,7,74,1321900,8066498,25
Odisha,2007,Robbery - Property,2. Robbery,690,1273,17860648,62957837,26
Puducherry,2007,Robbery - Property,2. Robbery,4,8,69250,3236250,27
Punjab,2007,Robbery - Property,2. Robbery,107,138,10033295,23479625,28
Rajasthan,2007,Robbery - Property,2. Robbery,420,723,45212425,65857571,29
Sikkim,2007,Robbery - Property,2. Robbery,0,6,0,87700,30
Tamil Nadu,2007,Robbery - Property,2. Robbery,417,495,21951038,29531931,31
Tripura,2007,Robbery - Property,2. Robbery,10,64,223750,916477,32
Uttar Pradesh,2007,Robbery - Property,2. Robbery,827,1417,69751301,145391089,33
Uttarakhand,2007,Robbery - Property,2. Robbery,69,144,4325410,8071357,34
West Bengal,2007,Robbery - Property,2. Robbery,149,427,13727735,34767419,35
Andaman & Nicobar Islands,2008,Robbery - Property,2. Robbery,10,14,81200,203400,1
Andhra Pradesh,2008,Robbery - Property,2. Robbery,348,599,30406364,54947063,2
Arunachal Pradesh,2008,Robbery - Property,2. Robbery,40,79,714120,1282910,3
Assam,2008,Robbery - Property,2. Robbery,142,568,4959153,26547936,4
Bihar,2008,Robbery - Property,2. Robbery,391,1592,11803934,71982641,5
Chandigarh,2008,Robbery - Property,2. Robbery,22,23,268600,270600,6
Chhattisgarh,2008,Robbery - Property,2. Robbery,291,500,18507666,30199112,7
Dadra & Nagar Haveli,2008,Robbery - Property,2. Robbery,0,0,0,0,8
Daman & Diu,2008,Robbery - Property,2. Robbery,1,4,400000,985700,9
Delhi,2008,Robbery - Property,2. Robbery,362,541,7425250,83492513,10
Goa,2008,Robbery - Property,2. Robbery,7,23,118800,2311380,11
Gujarat,2008,Robbery - Property,2. Robbery,649,1302,22165510,57524742,12
Haryana,2008,Robbery - Property,2. Robbery,395,555,64320526,98144107,13
Himachal Pradesh,2008,Robbery - Property,2. Robbery,10,20,709380,2018930,14
Jammu & Kashmir,2008,Robbery - Property,2. Robbery,24,60,5474120,6892220,15
Jharkhand,2008,Robbery - Property,2. Robbery,202,761,7692706,36317556,16
Karnataka,2008,Robbery - Property,2. Robbery,893,1610,39373679,127655811,17
Kerala,2008,Robbery - Property,2. Robbery,349,725,12664305,46727656,18
Lakshadweep,2008,Robbery - Property,2. Robbery,0,0,0,0,19
Madhya Pradesh,2008,Robbery - Property,2. Robbery,1218,2234,55084131,143137421,20
Maharashtra,2008,Robbery - Property,2. Robbery,1790,2984,77213016,569912815,21
Manipur,2008,Robbery - Property,2. Robbery,2,7,19000,1072600,22
Meghalaya,2008,Robbery - Property,2. Robbery,17,63,54100,2802150,23
Mizoram,2008,Robbery - Property,2. Robbery,4,6,72184,99220,24
Nagaland,2008,Robbery - Property,2. Robbery,5,87,600300,272716035,25
Odisha,2008,Robbery - Property,2. Robbery,725,1315,21594475,55547517,26
Puducherry,2008,Robbery - Property,2. Robbery,10,10,435490,435490,27
Punjab,2008,Robbery - Property,2. Robbery,120,167,50324180,72255931,28
Rajasthan,2008,Robbery - Property,2. Robbery,462,777,57538862,74233912,29
Sikkim,2008,Robbery - Property,2. Robbery,0,7,0,123100,30
Tamil Nadu,2008,Robbery - Property,2. Robbery,548,662,22664158,32140158,31
Tripura,2008,Robbery - Property,2. Robbery,11,95,35000,1004194,32
Uttar Pradesh,2008,Robbery - Property,2. Robbery,909,1404,106286964,189676793,33
Uttarakhand,2008,Robbery - Property,2. Robbery,80,115,6102530,13022462,34
West Bengal,2008,Robbery - Property,2. Robbery,191,613,5813284,24314515,35
Andaman & Nicobar Islands,2009,Robbery - Property,2. Robbery,9,11,187700,222200,1
Andhra Pradesh,2009,Robbery - Property,2. Robbery,310,536,32450159,52697966,2
Arunachal Pradesh,2009,Robbery - Property,2. Robbery,29,55,761840,2039140,3
Assam,2009,Robbery - Property,2. Robbery,119,680,4580248,27004505,4
Bihar,2009,Robbery - Property,2. Robbery,352,1619,14097048,67731418,5
Chandigarh,2009,Robbery - Property,2. Robbery,22,27,492950,883650,6
Chhattisgarh,2009,Robbery - Property,2. Robbery,354,554,14429223,26529632,7
Dadra & Nagar Haveli,2009,Robbery - Property,2. Robbery,1,2,900000,905750,8
Daman & Diu,2009,Robbery - Property,2. Robbery,1,4,22400,336400,9
Delhi,2009,Robbery - Property,2. Robbery,403,515,31782135,134320407,10
Goa,2009,Robbery - Property,2. Robbery,14,29,1812500,4152080,11
Gujarat,2009,Robbery - Property,2. Robbery,570,1412,37156677,75901458,12
Haryana,2009,Robbery - Property,2. Robbery,434,679,66855856,114003381,13
Himachal Pradesh,2009,Robbery - Property,2. Robbery,8,21,112080,3151270,14
Jammu & Kashmir,2009,Robbery - Property,2. Robbery,22,61,2081610,4186195,15
Jharkhand,2009,Robbery - Property,2. Robbery,203,780,7691799,35810817,16
Karnataka,2009,Robbery - Property,2. Robbery,1026,1825,66321860,117838795,17
Kerala,2009,Robbery - Property,2. Robbery,423,725,12401470,33221516,18
Lakshadweep,2009,Robbery - Property,2. Robbery,0,0,0,0,19
Madhya Pradesh,2009,Robbery - Property,2. Robbery,1370,2270,53226153,100939335,20
Maharashtra,2009,Robbery - Property,2. Robbery,1908,3281,76228642,248298616,21
Manipur,2009,Robbery - Property,2. Robbery,0,3,0,355000,22
Meghalaya,2009,Robbery - Property,2. Robbery,9,67,168860,2197580,23
Mizoram,2009,Robbery - Property,2. Robbery,1,4,120000,687934,24
Nagaland,2009,Robbery - Property,2. Robbery,10,92,2932120,653462133,25
Odisha,2009,Robbery - Property,2. Robbery,704,1488,25335003,80922008,26
Puducherry,2009,Robbery - Property,2. Robbery,8,9,225200,520200,27
Punjab,2009,Robbery - Property,2. Robbery,127,171,12957100,24155661,28
Rajasthan,2009,Robbery - Property,2. Robbery,512,828,86301774,137303678,29
Sikkim,2009,Robbery - Property,2. Robbery,0,4,0,58500,30
Tamil Nadu,2009,Robbery - Property,2. Robbery,834,1143,47960016,70095235,31
Tripura,2009,Robbery - Property,2. Robbery,16,77,1320160,2124018,32
Uttar Pradesh,2009,Robbery - Property,2. Robbery,1017,1629,107357275,185440605,33
Uttarakhand,2009,Robbery - Property,2. Robbery,97,151,7382290,11543328,34
West Bengal,2009,Robbery - Property,2. Robbery,167,751,23649777,59387647,35
Andaman & Nicobar Islands,2010,Robbery - Property,2. Robbery,3,7,60080,318081,1
Andhra Pradesh,2010,Robbery - Property,2. Robbery,337,533,19902399,39143793,2
Arunachal Pradesh,2010,Robbery - Property,2. Robbery,26,69,1541787,4502105,3
Assam,2010,Robbery - Property,2. Robbery,88,662,3322890,13746590,4
Bihar,2010,Robbery - Property,2. Robbery,305,1538,14080283,83964697,5
Chandigarh,2010,Robbery - Property,2. Robbery,52,67,567140,3409440,6
Chhattisgarh,2010,Robbery - Property,2. Robbery,324,552,9596117,30437443,7
Dadra & Nagar Haveli,2010,Robbery - Property,2. Robbery,0,3,0,946907,8
Daman & Diu,2010,Robbery - Property,2. Robbery,0,0,0,0,9
Delhi,2010,Robbery - Property,2. Robbery,435,599,16484540,116610568,10
Goa,2010,Robbery - Property,2. Robbery,27,36,2245750,5842300,11
Gujarat,2010,Robbery - Property,2. Robbery,627,1367,30477347,106357622,12
Haryana,2010,Robbery - Property,2. Robbery,481,734,72926257,116343480,13
Himachal Pradesh,2010,Robbery - Property,2. Robbery,7,11,1171465,1619465,14
Jammu & Kashmir,2010,Robbery - Property,2. Robbery,19,56,3514800,5531200,15
Jharkhand,2010,Robbery - Property,2. Robbery,197,709,8179876,31192463,16
Karnataka,2010,Robbery - Property,2. Robbery,1011,1949,122951711,150847452,17
Kerala,2010,Robbery - Property,2. Robbery,336,524,9088410,19101844,18
Lakshadweep,2010,Robbery - Property,2. Robbery,0,0,0,0,19
Madhya Pradesh,2010,Robbery - Property,2. Robbery,1177,1918,73587461,130591889,20
Maharashtra,2010,Robbery - Property,2. Robbery,2206,3680,87244866,1520900483,21
Manipur,2010,Robbery - Property,2. Robbery,1,2,11500,51500,22
Meghalaya,2010,Robbery - Property,2. Robbery,10,66,115000,2890295,23
Mizoram,2010,Robbery - Property,2. Robbery,10,16,27950,1507760,24
Nagaland,2010,Robbery - Property,2. Robbery,12,63,688030,11368585,25
Odisha,2010,Robbery - Property,2. Robbery,716,1491,34063947,119195185,26
Puducherry,2010,Robbery - Property,2. Robbery,4,5,2140065,2425969,27
Punjab,2010,Robbery - Property,2. Robbery,191,241,33385419,45890133,28
Rajasthan,2010,Robbery - Property,2. Robbery,562,872,95860220,115853823,29
Sikkim,2010,Robbery - Property,2. Robbery,0,7,0,171600,30
Tamil Nadu,2010,Robbery - Property,2. Robbery,1326,1817,70981709,117163496,31
Tripura,2010,Robbery - Property,2. Robbery,16,63,396035,1318455,32
Uttar Pradesh,2010,Robbery - Property,2. Robbery,1223,2007,121061420,246998602,33
Uttarakhand,2010,Robbery - Property,2. Robbery,100,152,8107570,14016919,34
West Bengal,2010,Robbery - Property,2. Robbery,190,798,12010617,50393917,35
Andaman & Nicobar Islands,2001,Theft - Property,4. Theft,24,65,354321,595549,1
Andhra Pradesh,2001,Theft - Property,4. Theft,9515,16435,108258741,224104509,2
Arunachal Pradesh,2001,Theft - Property,4. Theft,193,443,6344706,12395613,3
Assam,2001,Theft - Property,4. Theft,1163,5367,7609277,38223829,4
Bihar,2001,Theft - Property,4. Theft,1942,9695,18392667,268426920,5
Chandigarh,2001,Theft - Property,4. Theft,556,1529,17350879,36956201,6
Chhattisgarh,2001,Theft - Property,4. Theft,1664,4812,22767348,51329061,7
Dadra & Nagar Haveli,2001,Theft - Property,4. Theft,19,45,330567,1049398,8
Daman & Diu,2001,Theft - Property,4. Theft,12,39,934194,1622887,9
Delhi,2001,Theft - Property,4. Theft,4235,19276,146767644,878205006,10
Goa,2001,Theft - Property,4. Theft,202,572,6123044,18220340,11
Gujarat,2001,Theft - Property,4. Theft,4620,15625,119724259,422312609,12
Haryana,2001,Theft - Property,4. Theft,2814,6115,147713275,227824329,13
Himachal Pradesh,2001,Theft - Property,4. Theft,209,596,13471070,27359454,14
Jammu & Kashmir,2001,Theft - Property,4. Theft,618,1919,25032584,59706866,15
Jharkhand,2001,Theft - Property,4. Theft,935,3236,6926220,73302172,16
Karnataka,2001,Theft - Property,4. Theft,4163,12868,137617871,302109716,17
Kerala,2001,Theft - Property,4. Theft,2203,5365,62894216,224561696,18
Lakshadweep,2001,Theft - Property,4. Theft,4,10,31900,93790,19
Madhya Pradesh,2001,Theft - Property,4. Theft,6505,20263,124632664,279298301,20
Maharashtra,2001,Theft - Property,4. Theft,13815,39667,408353354,1479320711,21
Manipur,2001,Theft - Property,4. Theft,17,217,223245,5162243,22
Meghalaya,2001,Theft - Property,4. Theft,85,271,2149327,4391865,23
Mizoram,2001,Theft - Property,4. Theft,603,878,4034040,7505842,24
Nagaland,2001,Theft - Property,4. Theft,61,163,2112717,13853721,25
